iter	RMSE
0	2.623150408
1	2.552738911
2	2.484057988
3	2.417129963
4	2.35302078
5	2.289894119
6	2.229781291
7	2.171485654
8	2.114720416
9	2.059566545
10	2.006062473
11	1.954190966
12	1.905011381
13	1.85671244
14	1.810479216
15	1.765132842
16	1.7210323
17	1.679052192
18	1.638520332
19	1.599379894
20	1.56123356
21	1.524293868
22	1.489046366
23	1.454438581
24	1.421074289
25	1.388855726
26	1.357730522
27	1.327398879
28	1.298061793
29	1.269614416
30	1.24235383
31	1.216056415
32	1.191358109
33	1.167080756
34	1.143755406
35	1.120877402
36	1.099368812
37	1.078062945
38	1.057507977
39	1.037795088
40	1.018790216
41	1.001261736
42	0.9836394572
43	0.9669440108
44	0.950705359
45	0.9353357387
46	0.9206294781
47	0.9062533793
48	0.892596266
49	0.8793523939
50	0.866426835
51	0.8543643099
52	0.8422915834
53	0.8302852866
54	0.819734409
55	0.8094358305
56	0.7993070439
57	0.7898270756
58	0.7801909996
59	0.7712927548
60	0.7628995507
61	0.7543073952
62	0.746216888
63	0.7386016062
64	0.7309638578
65	0.7235729904
66	0.7167764919
67	0.7103787612
68	0.7040233455
69	0.6981232551
70	0.6926745433
71	0.6873325396
72	0.6820547567
73	0.6765349355
74	0.6716974384
75	0.6668639267
76	0.6624210343
77	0.6579479905
78	0.6536503325
79	0.6494505489
80	0.6456494892
81	0.6415339104
82	0.6377571875
83	0.6340727069
84	0.6307245632
85	0.6272391257
86	0.6236978984
87	0.6201538287
88	0.6174160955
89	0.6146795277
90	0.6117177456
91	0.6091036893
92	0.606738337
93	0.6041861401
94	0.6019308891
95	0.5993245993
96	0.5973951767
97	0.5947389098
98	0.5926048594
99	0.5903822954
100	0.5887739393
101	0.5868403357
102	0.5849751513
103	0.5833935901
104	0.5816556774
105	0.579844714
106	0.5781651429
107	0.5766498394
108	0.5753163988
109	0.5737111524
110	0.5720102127
111	0.570170153
112	0.5688776294
113	0.5678178131
114	0.5667816433
115	0.5656319611
116	0.5644119541
117	0.5625925122
118	0.5615843475
119	0.5606908208
120	0.5590792444
121	0.558088353
122	0.5571562451
123	0.5562582792
124	0.5554833719
125	0.55430659
126	0.5527711956
127	0.5515303517
128	0.5508193616
129	0.5497924445
130	0.5491114533
131	0.5482686649
132	0.5476072936
133	0.5469552032
134	0.5461772269
135	0.5453043451
136	0.544361245
137	0.5433300049
138	0.542325754
139	0.5413428394
140	0.5400520217
141	0.5392815547
142	0.5384760751
143	0.5376373517
144	0.5370682784
145	0.5363822985
146	0.5353226069
147	0.5346873517
148	0.5342355531
149	0.5336707613
150	0.5329350709
151	0.5321746197
152	0.5315821318
153	0.5309868503
154	0.5305657393
155	0.5296668214
156	0.529292951
157	0.5285685557
158	0.5280140183
159	0.5272290987
160	0.5266230461
161	0.525917026
162	0.524646695
163	0.5241185596
164	0.5236652087
165	0.5227441805
166	0.5221476928
167	0.5218111211
168	0.5214043018
169	0.5210766711
170	0.520630708
171	0.5196508117
172	0.5189062029
173	0.518588783
174	0.5181186754
175	0.5171827852
176	0.5161784109
177	0.5158083671
178	0.5150620442
179	0.5140907389
180	0.5136410408
181	0.5128773906
182	0.5118649417
183	0.5114174414
184	0.5110261677
185	0.5107606534
186	0.5100121656
187	0.5092808471
188	0.5086063043
189	0.5082313086
190	0.5072691891
191	0.5065027456
192	0.5060868045
193	0.50559499
194	0.5048538615
195	0.5045133337
196	0.5035249784
197	0.5032453593
198	0.5025318408
199	0.501655514
200	0.5007959465
201	0.5004810722
202	0.499699409
203	0.499427329
204	0.4988327361
205	0.4984952594
206	0.4977641833
207	0.497290322
208	0.4969596457
209	0.4964241815
210	0.4960026983
211	0.4956807559
212	0.49475302
213	0.4941592751
214	0.4936730605
215	0.4929326292
216	0.492239646
217	0.4920445563
218	0.4918567017
219	0.4914630989
220	0.4910993825
221	0.4904679192
222	0.4900571855
223	0.4896364077
224	0.488926372
225	0.4885500954
226	0.4882716978
227	0.487392846
228	0.4869760708
229	0.486395286
230	0.4859301818
231	0.4855398728
232	0.4849391007
233	0.4845235625
234	0.4837779186
235	0.4834095841
236	0.4830368513
237	0.4823859989
238	0.4819781524
239	0.481749499
240	0.4815033408
241	0.4812463347
242	0.4804989009
243	0.4802903966
244	0.4799641437
245	0.4798022197
246	0.4795438533
247	0.478732956
248	0.4785633311
249	0.478335302
250	0.4777537594
251	0.4774212376
252	0.4772161534
253	0.4767660802
254	0.4760103326
255	0.4754353088
256	0.4748270027
257	0.4744589664
258	0.4742021614
259	0.4738590902
