iter	Passed	Remaining
0	1413	4238357
1	2961	4439009
2	4433	4428745
3	5872	4398867
4	7365	4411817
5	8782	4382299
6	10065	4303630
7	11328	4236672
8	12805	4255669
9	14249	4260683
10	15659	4255041
11	17083	4253716
12	18364	4219632
13	19809	4225043
14	21304	4239629
15	22576	4210503
16	23978	4207564
17	25468	4219233
18	26956	4229305
19	28433	4236626
20	29925	4245081
21	31242	4229060
22	32567	4215375
23	33875	4200594
24	35337	4205164
25	36845	4214607
26	38264	4213355
27	39741	4218249
28	41203	4221251
29	42467	4204318
30	43782	4193204
31	45251	4197067
32	46729	4201441
33	48018	4188882
34	49524	4195395
35	50939	4194025
36	52472	4202077
37	53887	4200420
38	55360	4203117
39	56771	4201072
40	58017	4187147
41	59274	4174641
42	60517	4161606
43	62050	4168668
44	63325	4158387
45	64593	4148041
46	66095	4152761
47	67577	4156002
48	68855	4146779
49	70122	4137243
50	71534	4136381
51	73029	4140206
52	74458	4140164
53	75956	4143870
54	77442	4146668
55	78881	4146921
56	80307	4146390
57	81772	4147863
58	83210	4147808
59	84480	4139563
60	85995	4143284
61	87425	4142831
62	88918	4145293
63	90399	4147096
64	91707	4140966
65	93166	4141657
66	94620	4142110
67	96059	4141856
68	97393	4137093
69	98849	4137545
70	100138	4131083
71	101403	4123741
72	102950	4127903
73	104251	4122175
74	105702	4122389
75	107161	4122899
76	108463	4117392
77	109894	4116813
78	111422	4119816
79	112683	4112945
80	114108	4112116
81	115616	4114251
82	117062	4114103
83	118485	4113129
84	119864	4110664
85	121165	4105545
86	122600	4104989
87	123860	4098653
88	125370	4100597
89	126657	4095259
90	127947	4090096
91	129398	4090116
92	130799	4088533
93	132190	4086655
94	133517	4082810
95	134949	4082231
96	136250	4077673
97	137680	4077033
98	139161	4077865
99	140479	4073906
100	141742	4068425
101	143192	4068352
102	144602	4067129
103	145979	4064979
104	147467	4065878
105	148938	4066305
106	150313	4064087
107	151683	4061744
108	153129	4061442
109	154552	4060507
110	156034	4061126
111	157347	4057315
112	158801	4057177
113	160002	4050599
114	161265	4045669
115	162563	4041670
116	164078	4043064
117	165431	4040455
118	166846	4039376
119	168244	4037879
120	169783	4039718
121	171055	4035231
122	172506	4034975
123	173720	4029194
124	175152	4028509
125	176624	4028718
126	178144	4030002
127	179559	4028874
128	180778	4023370
129	182073	4019621
130	183345	4015409
131	184865	4016625
132	186245	4014771
133	187590	4012205
134	189007	4011158
135	190543	4012616
136	191956	4011479
137	193476	4012540
138	194993	4013496
139	196235	4008812
140	197672	4008117
141	198993	4005092
142	200404	4003890
143	201751	4001398
144	203230	4001534
145	204498	3997521
146	205862	3995403
147	207329	3995297
148	208562	3990688
149	209816	3986516
150	211158	3984035
151	212715	3985611
152	214168	3985211
153	215494	3982449
154	216955	3982177
155	218442	3982377
156	219883	3981720
157	221364	3981759
158	222785	3980710
159	224201	3979574
160	225462	3975702
161	226913	3975195
162	228483	3976738
163	229992	3977192
164	231458	3976871
165	232953	3977048
166	234428	3976859
167	235859	3975922
168	237356	3976068
169	238821	3975680
170	240218	3974137
171	241531	3971226
172	242994	3970780
173	244239	3966783
174	245492	3962950
175	247002	3963263
176	248327	3960605
177	249790	3960168
178	251055	3956582
179	252563	3956831
180	253867	3953885
181	255129	3950303
182	256661	3950903
183	257965	3947999
184	259374	3946705
185	260650	3943396
186	262123	3943071
187	263392	3939681
188	264918	3940134
189	266334	3938942
190	267907	3940063
191	269203	3937102
192	270599	3935604
193	272078	3935319
194	273735	3937578
195	275214	3937256
196	276820	3938724
197	278287	3938182
198	279562	3934943
199	281087	3935229
200	282531	3934357
201	283972	3933434
202	285438	3932864
203	286745	3930100
204	288006	3926718
205	289514	3926711
206	290836	3924189
207	292218	3922477
208	293604	3920819
209	295076	3920305
210	296583	3920239
211	298150	3920957
212	299747	3922054
213	301230	3921628
214	302729	3921407
215	304383	3923161
216	305917	3923354
217	307425	3923205
218	308740	3920575
219	310107	3918637
220	311509	3917126
221	312854	3914909
222	314326	3914281
223	315568	3910799
224	316923	3908722
225	318175	3905388
226	319676	3905124
227	321248	3905706
228	322660	3904334
229	324072	3902965
230	325521	3902033
231	326769	3898695
232	328215	3897738
233	329574	3895738
234	331077	3895444
235	332635	3895784
236	334093	3894942
237	335599	3894642
238	337137	3894711
239	338619	3894120
240	340016	3892555
241	341474	3891675
242	342796	3889262
243	344273	3888598
244	345548	3885661
245	347025	3884998
246	348504	3884344
247	350017	3884066
248	351441	3882789
249	352878	3881665
250	354281	3880158
251	355548	3877168
252	356984	3876033
253	358384	3874503
254	359891	3874124
255	361409	3873862
256	362889	3873179
257	364407	3872892
258	365905	3872385
259	367345	3871256
260	368911	3871455
261	370304	3869826
262	371725	3868484
263	373209	3867811
264	374761	3867817
265	376209	3866754
266	377544	3864527
267	378962	3863158
268	380565	3863663
269	382018	3862631
270	383485	3861746
271	384945	3860777
272	386370	3859455
273	387698	3857172
274	389156	3856182
275	390553	3854595
276	392144	3854903
277	393415	3852074
278	394924	3851576
279	396294	3849722
280	397796	3849136
281	399215	3847762
282	400605	3846100
283	401993	3844416
284	403241	3841405
285	404798	3841341
286	406296	3840700
287	407802	3840138
288	409206	3838615
289	410699	3837911
290	411999	3835417
291	413417	3834026
292	414957	3833756
293	416467	3833198
294	418009	3832932
295	419481	3832018
296	421029	3831791
297	422620	3831948
298	424092	3831014
299	425562	3830060
300	427004	3828850
301	428451	3827693
302	429797	3825623
303	431297	3824926
304	432854	3824728
305	434347	3823963
306	435714	3822080
307	437240	3821591
308	438768	3821120
309	440262	3820346
310	441689	3818979
311	442991	3816539
312	444248	3813727
313	445645	3812114
314	447073	3810765
315	448575	3810049
316	449841	3807337
317	451359	3806747
318	452836	3805810
319	454368	3805336
320	455708	3803253
321	457227	3802652
322	458679	3801503
323	460070	3799844
324	462130	3803685
325	463984	3805814
326	465929	3808652
327	467968	3812231
328	470297	3818131
329	472355	3821786
330	474201	3823693
331	476147	3826386
332	477746	3826272
333	479705	3829029
334	481579	3831071
335	483773	3835628
336	485695	3838004
337	487391	3838568
338	488977	3838257
339	490875	3840375
340	492417	3839698
341	494063	3839825
342	495629	3839323
343	497284	3839499
344	499029	3840360
345	500640	3840170
346	502333	3840604
347	504157	3842029
348	505957	3843245
349	507694	3843972
350	509182	3842806
351	510816	3842733
352	512536	3843294
353	514239	3843722
354	515914	3843926
355	517361	3842429
356	518978	3842187
357	520474	3841040
358	522117	3840982
359	523740	3840764
360	525339	3840363
361	527042	3840711
362	528596	3839972
363	529995	3838102
364	531629	3837926
365	533287	3837920
366	535012	3838383
367	536772	3839092
368	538506	3839592
369	539820	3837099
370	541286	3835695
371	542752	3834286
372	544234	3832989
373	545764	3832025
374	547349	3831448
375	548794	3829882
376	550314	3828846
377	551800	3827570
378	553331	3826600
379	554792	3825150
380	556390	3824639
381	557905	3823551
382	559463	3822756
383	561159	3822897
384	562787	3822569
385	564093	3820053
386	565575	3818732
387	567069	3817487
388	568706	3817207
389	569750	3812942
390	571348	3812402
391	572756	3810582
392	574391	3810279
393	575900	3809129
394	577255	3806963
395	578821	3806188
396	580020	3803008
397	581383	3800903
398	582900	3799807
399	584272	3797774
400	585792	3796693
401	587145	3794539
402	588481	3792272
403	590029	3791377
404	591629	3790809
405	592971	3788591
406	594563	3787967
407	595803	3785103
408	597160	3782987
409	598477	3780623
410	599988	3779487
411	601334	3777314
412	602790	3775830
413	604183	3773957
414	605771	3773302
415	607108	3771075
416	608442	3768844
417	609877	3767236
418	611407	3766210
419	612696	3763710
420	614213	3762607
421	615492	3760044
422	616940	3758526
423	618505	3757713
424	620026	3756628
425	621433	3754860
426	622883	3753344
427	624334	3751840
428	625953	3751342
429	627466	3750208
430	629014	3749276
431	630522	3748103
432	631962	3746527
433	633452	3745252
434	635086	3744819
435	636353	3742224
436	637950	3741571
437	639221	3739010
438	640535	3736703
439	642221	3736560
440	643843	3736044
441	645197	3733973
442	646577	3732053
443	648577	3733705
444	650246	3733435
445	651638	3731581
446	653326	3731412
447	654706	3729490
448	655981	3726967
449	657451	3725556
450	658994	3724563
451	660551	3723640
452	662019	3722214
453	663361	3720087
454	664710	3717995
455	666296	3717232
456	667716	3715543
457	669208	3714255
458	670489	3711796
459	671797	3709492
460	673145	3707409
461	674474	3705231
462	676052	3704416
463	677882	3704975
464	679673	3705317
465	681266	3704569
466	682835	3703686
467	684452	3703062
468	685784	3700894
469	687297	3699709
470	688773	3698318
471	690438	3697943
472	691960	3696796
473	693784	3697254
474	695360	3696391
475	696876	3695201
476	698447	3694302
477	699991	3693262
478	701390	3691453
479	702979	3690643
480	704509	3689522
481	706507	3690841
482	708336	3691271
483	709869	3690149
484	711297	3688480
485	712648	3686416
486	714221	3685502
487	715836	3684796
488	717264	3683132
489	718933	3682698
490	721040	3684502
491	722398	3682470
492	724051	3681942
493	725706	3681420
494	727064	3679387
495	728501	3677757
496	729762	3675244
497	731379	3674523
498	732843	3673029
499	735032	3675163
500	736421	3673288
501	738000	3672362
502	739526	3671166
503	741037	3669900
504	742372	3667761
505	743846	3666312
506	745311	3664817
507	746920	3664025
508	748458	3662889
